SubjectNum	Age	Gender	PressedTask	Block Type	Block Repeat Num	Response Rate	Onset	Block	Trial	ImgType	ImgNum	RT	PressedC	FrameC
15	32	16	6	2	1	75	10	1	1	6	5	525.61	49	9
15	32	16	6	2	1	75	10	1	2	6	10	36.54	49	1
15	32	16	6	2	1	75	10	1	3	6	4	58.48	49	2
15	32	16	6	2	1	75	10	1	3	6	4	708.03	49	15
15	32	16	6	2	1	75	10	1	4	6	9	10.79	49	1
15	32	16	6	2	1	75	10	1	5	16	7	63.36	49	2
15	32	16	6	2	1	75	10	1	6	6	2	0	-1	16
15	32	16	6	2	1	75	10	1	7	6	3	108.46	49	3
15	32	16	6	2	1	75	10	1	7	6	3	765.6	49	16
15	32	16	6	2	1	75	10	1	8	16	9	10.19	49	1
15	32	16	6	2	1	75	10	1	9	6	8	735.2	49	15
15	32	16	6	2	1	75	10	1	10	16	2	8.76	49	1
15	32	16	6	2	1	75	10	1	11	6	7	0	-1	16
15	32	16	6	2	1	75	10	1	12	6	6	157.49	49	4
15	32	16	6	2	1	75	10	1	12	6	6	794.79	49	16
15	32	16	6	2	1	75	10	1	13	6	1	10.04	49	1
15	32	16	6	2	1	75	10	1	14	16	5	93.42	49	2
15	32	16	6	2	1	75	10	1	15	6	5	538.85	49	11
15	32	16	6	2	1	75	10	1	16	6	2	760.52	49	16
15	32	16	6	2	1	75	10	1	17	6	4	10.77	49	1
15	32	16	6	2	1	75	10	1	17	6	4	684.08	49	14
15	32	16	6	2	1	75	10	1	18	6	9	10.92	49	1
15	32	16	6	2	1	75	10	1	18	6	9	787.5	49	16
15	32	16	6	2	1	75	10	1	19	6	10	9.78	49	1
15	32	16	6	2	1	75	10	1	20	16	1	218.04	49	5
15	32	16	6	2	1	75	10	1	21	6	3	730.41	49	15
15	32	16	6	2	1	75	10	1	22	16	10	8.07	49	1
15	32	16	6	2	1	75	10	1	22	16	10	762.68	49	16
15	32	16	6	2	1	75	10	1	23	6	7	8.02	49	1
15	32	16	6	2	1	75	10	1	23	6	7	660.15	49	14
15	32	16	6	2	1	75	10	1	24	16	4	8.5	49	1
15	32	16	6	2	1	75	10	1	25	6	8	794.13	49	16
15	32	16	6	2	1	75	10	1	26	16	3	8.22	49	1
15	32	16	6	2	1	75	10	1	27	6	6	768.23	49	16
15	32	16	6	2	1	75	10	1	28	6	1	10.47	49	1
15	32	16	6	2	1	75	10	1	29	6	6	91.53	49	2
15	32	16	6	2	1	75	10	1	30	6	1	74.94	49	2
15	32	16	6	2	1	75	10	1	31	16	6	191.32	49	4
15	32	16	6	2	1	75	10	1	32	6	9	609.88	49	13
15	32	16	6	2	1	75	10	1	33	6	8	734.44	49	15
15	32	16	6	2	1	75	10	1	34	6	10	7.84	49	1
15	32	16	6	2	1	75	10	1	35	16	8	207.19	49	5
15	32	16	6	2	1	75	10	1	36	6	7	0	-1	16
15	32	16	6	2	1	75	10	1	37	6	4	122.71	49	3
15	32	16	6	2	1	75	10	1	38	6	2	19.86	49	1
15	32	16	6	2	1	75	10	1	39	6	5	19.47	49	1
15	32	16	6	2	1	75	10	1	39	6	5	760.53	49	16
15	32	16	6	2	1	75	10	1	40	16	7	10.79	49	1
15	32	16	6	2	1	75	10	1	41	16	4	0	-1	16
15	32	16	6	2	1	75	10	1	42	6	3	0	-1	16
15	32	16	6	2	1	75	10	1	43	6	7	409.25	49	9
15	32	16	6	2	1	75	10	1	44	6	5	9.34	49	1
15	32	16	6	2	1	75	10	1	44	6	5	773.44	49	16
15	32	16	6	2	1	75	10	1	45	6	2	10.51	49	1
15	32	16	6	2	1	75	10	1	46	6	1	107.63	49	3
15	32	16	6	2	1	75	10	1	47	6	9	93.04	49	2
15	32	16	6	2	1	75	10	1	48	6	4	228.94	49	5
15	32	16	6	2	1	75	10	1	48	6	4	719.65	49	15
15	32	16	6	2	1	75	10	1	49	16	5	7.39	49	1
