SubjectNum	Age	Gender	PressedTask	Block Type	Block Repeat Num	Response Rate	Onset	Block	Trial	ImgType	ImgNum	RT	PressedC	FrameC
16	35	9	6	2	1	75	10	1	1	6	5	0	-1	16
16	35	9	6	2	1	75	10	1	2	6	10	211.4	49	5
16	35	9	6	2	1	75	10	1	2	6	10	411.64	49	9
16	35	9	6	2	1	75	10	1	3	6	4	319.81	49	7
16	35	9	6	2	1	75	10	1	4	6	9	63.78	49	2
16	35	9	6	2	1	75	10	1	4	6	9	775.85	49	16
16	35	9	6	2	1	75	10	1	5	16	7	10.24	49	1
16	35	9	6	2	1	75	10	1	5	16	7	737.52	49	15
16	35	9	6	2	1	75	10	1	6	6	2	10.03	49	1
16	35	9	6	2	1	75	10	1	7	6	3	87.83	49	2
16	35	9	6	2	1	75	10	1	7	6	3	719.53	49	15
16	35	9	6	2	1	75	10	1	8	16	9	10.53	49	1
16	35	9	6	2	1	75	10	1	9	6	8	778.16	49	16
16	35	9	6	2	1	75	10	1	10	16	2	9.28	49	1
16	35	9	6	2	1	75	10	1	11	6	7	0	-1	16
16	35	9	6	2	1	75	10	1	12	6	6	165.71	49	4
16	35	9	6	2	1	75	10	1	13	6	1	60.09	49	2
16	35	9	6	2	1	75	10	1	14	16	5	64.96	49	2
16	35	9	6	2	1	75	10	1	15	6	5	544.22	49	11
16	35	9	6	2	1	75	10	1	16	6	2	768.17	49	16
16	35	9	6	2	1	75	10	1	17	6	4	10.7	49	1
16	35	9	6	2	1	75	10	1	17	6	4	677.4	49	14
16	35	9	6	2	1	75	10	1	18	6	9	10.4	49	1
16	35	9	6	2	1	75	10	1	18	6	9	718.54	49	15
16	35	9	6	2	1	75	10	1	19	6	10	9.91	49	1
16	35	9	6	2	1	75	10	1	19	6	10	760.43	49	16
16	35	9	6	2	1	75	10	1	20	16	1	8.36	49	1
16	35	9	6	2	1	75	10	1	21	6	3	0	-1	16
16	35	9	6	2	1	75	10	1	22	16	10	9.3	49	1
16	35	9	6	2	1	75	10	1	23	6	7	592.27	49	12
16	35	9	6	2	1	75	10	1	24	16	4	0	-1	16
16	35	9	6	2	1	75	10	1	25	6	8	0	-1	16
16	35	9	6	2	1	75	10	1	26	16	3	42.66	49	1
16	35	9	6	2	1	75	10	1	27	6	6	623.06	49	13
16	35	9	6	2	1	75	10	1	28	6	1	0	-1	16
16	35	9	6	2	1	75	10	1	29	6	6	10.18	49	1
16	35	9	6	2	1	75	10	1	30	6	1	119.43	49	3
16	35	9	6	2	1	75	10	1	31	16	6	92.61	49	2
16	35	9	6	2	1	75	10	1	32	6	9	757.66	49	16
16	35	9	6	2	1	75	10	1	33	6	8	7.61	49	1
16	35	9	6	2	1	75	10	1	33	6	8	732.45	49	15
16	35	9	6	2	1	75	10	1	34	6	10	10.45	49	1
16	35	9	6	2	1	75	10	1	34	6	10	707.97	49	15
16	35	9	6	2	1	75	10	1	35	16	8	7.78	49	1
16	35	9	6	2	1	75	10	1	35	16	8	713.21	49	15
16	35	9	6	2	1	75	10	1	36	6	7	7.4	49	1
16	35	9	6	2	1	75	10	1	37	6	4	165.12	49	4
16	35	9	6	2	1	75	10	1	38	6	2	244.37	49	5
16	35	9	6	2	1	75	10	1	39	6	5	236.52	49	5
16	35	9	6	2	1	75	10	1	40	16	7	59.8	49	2
16	35	9	6	2	1	75	10	1	41	16	4	0	-1	16
16	35	9	6	2	1	75	10	1	42	6	3	0	-1	16
16	35	9	6	2	1	75	10	1	43	6	7	60.59	49	2
16	35	9	6	2	1	75	10	1	44	6	5	83.15	49	2
16	35	9	6	2	1	75	10	1	45	6	2	38.65	49	1
16	35	9	6	2	1	75	10	1	45	6	2	782.35	49	16
16	35	9	6	2	1	75	10	1	46	6	1	8.22	49	1
16	35	9	6	2	1	75	10	1	46	6	1	727.65	49	15
16	35	9	6	2	1	75	10	1	47	6	9	8.64	49	1
16	35	9	6	2	1	75	10	1	47	6	9	791.06	49	16
16	35	9	6	2	1	75	10	1	48	6	4	7.81	49	1
16	35	9	6	2	1	75	10	1	49	16	5	35.36	49	1
16	35	9	6	2	1	75	10	1	50	16	1	0	-1	16
16	35	9	6	2	1	75	10	1	51	6	10	0	-1	16
16	35	9	6	2	1	75	10	1	52	6	6	109.89	49	3
16	35	9	6	2	1	75	10	1	53	6	3	77.95	49	2
16	35	9	6	2	1	75	10	1	53	6	3	645.95	49	13
16	35	9	6	2	1	75	10	1	54	6	8	0	-1	16
